id	eixo	curso	cd_cbo	desc_cbo
446	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	311620	Técnico têxtil de malharia
447	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	311625	Técnico têxtil de tecelagem
448	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	311610	Técnico têxtil (tratamentos químicos)
449	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	311710	Colorista têxtil
450	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	318420	Desenhista técnico (indústria têxtil)
451	PRODUÇÃO INDUSTRIAL 	Técnico em Têxtil	311720	Preparador de tintas (fábrica de tecidos)
452	PRODUÇÃO INDUSTRIAL 	Técnico em Vestuário	319110	Técnico em confecções do vestuário
453	RECURSOS NATURAIS	Técnico em Agricultura	321105	Técnico agrícola
454	RECURSOS NATURAIS	Técnico em Agroecologia	---	
455	RECURSOS NATURAIS	Técnico em Agronegócio	---	
456	RECURSOS NATURAIS	Técnico em Agropecuária	321110	Técnico agropecuário
457	RECURSOS NATURAIS	Técnico em Aquicultura	321305	Técnico em piscicultura
458	RECURSOS NATURAIS	Técnico em Aquicultura	321310	Técnico em carcinicultura
459	RECURSOS NATURAIS	Técnico em Aquicultura	321315	Técnico em mitilicultura
460	RECURSOS NATURAIS	Técnico em Aquicultura	321320	Técnico em ranicultura
461	RECURSOS NATURAIS	Técnico em Cafeicultura	---	
462	RECURSOS NATURAIS	Técnico em Equipamentos Pesqueiros	---	
463	RECURSOS NATURAIS	Técnico em Florestas	321210	Técnico florestal
464	RECURSOS NATURAIS	Técnico em Fruticultura	---	
465	RECURSOS NATURAIS	Técnico em Geologia	316110	Técnico em geologia
466	RECURSOS NATURAIS	Técnico em Geologia	316320	Técnico em pesquisa mineral
467	RECURSOS NATURAIS	Técnico em Grãos	325205	Técnico de alimentos
468	RECURSOS NATURAIS	Técnico em Mineração	316305	Técnico de mineração
469	RECURSOS NATURAIS	Técnico em Mineração	316315	Técnico em processamento mineral (exceto petróleo)
470	RECURSOS NATURAIS	Técnico em Mineração	316320	Técnico em pesquisa mineral
471	RECURSOS NATURAIS	Técnico em Pesca	341220	Patrão de pesca de alto-mar
472	RECURSOS NATURAIS	Técnico em Pesca	341225	Patrão de pesca na navegação interior
473	RECURSOS NATURAIS	Técnico em Pós-Colheita	325205	Técnico de alimentos
474	RECURSOS NATURAIS	Técnico em Recursos Minerais	316315	Técnico em processamento mineral (exceto petróleo)
475	RECURSOS NATURAIS	Técnico em Recursos Minerais	316330	Técnico em planejamento de lavra de minas
476	RECURSOS NATURAIS	Técnico em Recursos Minerais	316105	Técnico em geofísica
477	RECURSOS NATURAIS	Técnico em Recursos Minerais	316115	Técnico em geoquímica
478	RECURSOS NATURAIS	Técnico em Recursos Minerais	316120	Técnico em geotecnia
479	RECURSOS NATURAIS	Técnico em Recursos Minerais	316320	Técnico em pesquisa mineral
480	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	321305	Técnico em piscicultura
481	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	321310	Técnico em carcinicultura
482	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	321315	Técnico em mitilicultura
483	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	321320	Técnico em ranicultura
484	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	341220	Patrão de pesca de alto-mar
485	RECURSOS NATURAIS	Técnico em Recursos Pesqueiros	341225	Patrão de pesca na navegação interior
486	RECURSOS NATURAIS	Técnico em Zootecnia	323105	Técnico em pecuária
487	SEGURANÇA	Técnico em Defesa Civil	---	
488	SEGURANÇA	Técnico em Segurança do Trabalho	351605	Técnico em segurança do trabalho
489	TURISMO, HOSPITALIDADE E LAZER	Técnico em Agenciamento de Viagem	354810	Operador de turismo
490	TURISMO, HOSPITALIDADE E LAZER	Técnico em Agenciamento de Viagem	354815	Agente de viagem
491	TURISMO, HOSPITALIDADE E LAZER	Técnico em Cozinha	---	
492	TURISMO, HOSPITALIDADE E LAZER	Técnico em Eventos	354820	Organizador de evento
493	TURISMO, HOSPITALIDADE E LAZER	Técnico em Eventos	375120	Decorador de eventos
494	TURISMO, HOSPITALIDADE E LAZER	Técnico em Eventos	376305	Apresentador de eventos
495	TURISMO, HOSPITALIDADE E LAZER	Técnico em Guia de Turismo	511405	Guia de Turismo
496	TURISMO, HOSPITALIDADE E LAZER	Técnico em Hospedagem	422120	Recepcionista de Hotel
497	TURISMO, HOSPITALIDADE E LAZER	Técnico em Hospedagem	513115	Governanta de hotelaria
498	TURISMO, HOSPITALIDADE E LAZER	Técnico em Lazer	371405	Recreador de Acantonamento
499	TURISMO, HOSPITALIDADE E LAZER	Técnico em Lazer	371410	Recreador
500	TURISMO, HOSPITALIDADE E LAZER	Técnico em Restaurante e Bar	510130	Chefe de bar
501	TURISMO, HOSPITALIDADE E LAZER	Técnico em Restaurante e Bar	510135	Maître
